Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1, 3, 30.0, -0.5
Query 2, 5, 50.0, -0.5
Query 3, 2, 20.0, -44.0
Query 4, 4, 40.0, -2.1
Query 5, 3, 30.0, -5.75
Query 6, 2, 20.0, -33.0
Query 7, 6, 60.0, -1.6857142857142855
Query 8, 4, 40.0, -2.8
Query 9, 2, 20.0, -49.0
Query 10, 2, 20.0, -9.0
Query 11, 6, 60.0, 0.5714285714285714
Query 12, 3, 30.0, -12.5
Query 13, 2, 20.0, -17.0
Query 14, 3, 30.0, -11.75
Query 15, 5, 50.0, -3.5
Query 16, 2, 20.0, 1.0
Query 17, 4, 40.0, -1.6
Query 18, 0, 0.0, 0
Query 19, 3, 30.0, -6.25
Query 20, 0, 0.0, 0
Query 21, 5, 50.0, 0.0
Query 22, 1, 10.0, 0.0
Query 23, 6, 60.0, -0.08571428571428563
Query 24, 1, 10.0, 0.0
Query 25, 3, 30.0, -4.0
Query 26, 3, 30.0, -4.25
Query 27, 4, 40.0, -2.4
Query 28, 4, 40.0, -8.1
Query 29, 6, 60.0, 0.4571428571428572
Query 30, 4, 40.0, -4.8
Query 31, 3, 30.0, -5.5
Query 32, 3, 30.0, -21.25
Query 33, 0, 0.0, 0
Query 34, 4, 40.0, -4.1
Query 35, 2, 20.0, -35.0
Query 36, 4, 40.0, -2.0
Query 37, 1, 10.0, 0.0
Query 38, 5, 50.0, -1.4
Query 39, 4, 40.0, -3.9000000000000004
Query 40, 4, 40.0, -4.1
Query 41, 7, 70.0, -0.6071428571428572
Query 42, 2, 20.0, -16.0
Query 43, 3, 30.0, -2.5
Query 44, 5, 50.0, -0.050000000000000044
Query 45, 3, 30.0, -10.5
Query 46, 6, 60.0, 0.8
Query 47, 2, 20.0, -8.0
Query 48, 1, 10.0, 0.0
Query 49, 2, 20.0, -12.0
Query 50, 1, 10.0, 0.0
Query 51, 4, 40.0, 0.6
Query 52, 1, 10.0, 0.0
Query 53, 1, 10.0, 0.0
Query 54, 1, 10.0, 0.0
Query 55, 5, 50.0, -1.7000000000000002
Query 56, 5, 50.0, -3.5
Query 57, 3, 30.0, -2.5
Query 58, 3, 30.0, -12.0
Query 59, 3, 30.0, 0.75
Query 60, 6, 60.0, 0.02857142857142858
Query 61, 1, 10.0, 0.0
Query 62, 5, 50.0, -1.7000000000000002
Query 63, 6, 60.0, 0.8
Query 64, 1, 10.0, 1.0
Query 65, 4, 40.0, -1.1
Query 66, 4, 40.0, -1.2999999999999998
Query 67, 0, 0.0, 0
Query 68, 7, 70.0, 0.2142857142857143
Query 69, 2, 20.0, -7.0
Query 70, 2, 20.0, -3.0
Query 71, 1, 10.0, 0.0
Query 72, 3, 30.0, -11.75
Query 73, 2, 20.0, -19.0
Query 74, 6, 60.0, 0.4
Query 75, 5, 50.0, -2.55
Query 76, 3, 30.0, -11.25
Query 77, 3, 30.0, 0.0
Query 78, 1, 10.0, 0.0
Query 79, 4, 40.0, -1.7000000000000002
Query 80, 2, 20.0, -36.0
Query 81, 2, 20.0, 0.0
Query 82, 3, 30.0, -15.5
Query 83, 3, 30.0, 0.75
Query 84, 0, 0.0, 0
Query 85, 5, 50.0, -2.1
Query 86, 4, 40.0, -2.6
Query 87, 4, 40.0, -2.5
Query 88, 2, 20.0, -8.0
Query 89, 4, 40.0, -0.6000000000000001
Query 90, 1, 10.0, 0.0
Query 91, 3, 30.0, -28.25
Query 92, 6, 60.0, -0.5142857142857142
Query 93, 6, 60.0, 0.7142857142857143
Query 94, 2, 20.0, -4.0
Query 95, 4, 40.0, -4.4
Query 96, 8, 80.0, -0.22619047619047628
Query 97, 1, 10.0, 0.0
Query 98, 1, 10.0, 1.0
Query 99, 5, 50.0, -2.9
Query 100, 2, 20.0, -84.0
Averages, 3.2, 32.0, -6.140333333333333
