URL,Size in Bytes,Num of outlinks,Content-type
https://www.usatoday.com/,177813,201,text/html
https://www.usatoday.com/story/life/2020/04/10/staying-apart-together-newsletter-help-us-cope-coronavirus/2953992001/,154235,143,text/html
https://www.usatoday.com/sports/olympics/,139558,140,text/html
https://www.usatoday.com/story/tech/2022/02/07/did-you-know-these-handy-iphone-tricks-talking-tech-podcast/6674699001/,136386,143,text/html
https://www.usatoday.com/story/sports/nfl/dolphins/2022/02/07/mike-mcdaniel-miami-dolphins-head-caoch-hire-history/6698652001/,156050,144,text/html
https://www.usatoday.com/storytelling/remembering-covid-nursing-home-deaths/,145052,49,text/html
https://www.usatoday.com/story/news/nation/2022/02/07/skateboarder-josh-neuman-iceland-airplane-crash/6699659001/,136550,137,text/html
https://www.usatoday.com/story/sports/olympics/beijing/2022/02/08/figure-skating-vincent-zhou-coach-gives-update-thanks-support/6700051001/,161942,140,text/html
https://www.usatoday.com/story/news/health/2022/02/07/covid-19-news-omicron-specific-booster-may-not-needed-yet/6685168001/,186057,161,text/html
https://www.usatoday.com/story/news/2022/01/02/corrections-clarifications-2022/8883854002/,141163,163,text/html
https://www.usatoday.com/news/coronavirus/,150116,163,text/html
https://www.usatoday.com/border-wall/,5316,24,text/html
https://www.usatoday.com/tech/,161018,163,text/html
https://www.usatoday.com/news/,164251,161,text/html
https://www.usatoday.com/in-depth/graphics/2020/03/10/us-coronavirus-map-tracking-united-states-outbreak/4945223002/,159323,66,text/html
https://www.usatoday.com/videos/entertainment/2022/02/08/uma-thurman-stars-new-apple-tv-series/6700753001/,121450,149,text/html
https://www.usatoday.com/pr/,114311,129,text/html
https://www.usatoday.com/story/money/reviewed/2022/02/07/all-clad-save-big-nonstick-cookware-huge-warehouse-sale/6690224001/,110850,138,text/html
https://www.usatoday.com/in-depth/life/health-wellness/2022/01/10/summer-camp-child-sexual-abuse/8650964002/,228488,68,text/html
https://www.usatoday.com/story/entertainment/movies/2022/02/07/oscar-nominations-2022-predictions-academy-awards/9300850002/,179782,180,text/html
