time,Cache:adminBytes,Cache:avgBatchCACHEMODE,Cache:avgBatchCRITICAL,Cache:avgBatchDAEMON,Cache:avgBatchEVICTORTHREAD,Cache:avgBatchMANUAL,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINsEvictedCACHEMODE,Cache:nBINsEvictedCRITICAL,Cache:nBINsEvictedDAEMON,Cache:nBINsEvictedEVICTORTHREAD,Cache:nBINsEvictedMANUAL,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsStripped,Cache:nBatchesCACHEMODE,Cache:nBatchesCRITICAL,Cache:nBatchesDAEMON,Cache:nBatchesEVICTORTHREAD,Cache:nBatchesMANUAL,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictPasses,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesScanned,Cache:nNodesSelected,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsEvictedCACHEMODE,Cache:nUpperINsEvictedCRITICAL,Cache:nUpperINsEvictedDAEMON,Cache:nUpperINsEvictedEVICTORTHREAD,Cache:nUpperINsEvictedMANUAL,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:requiredEvictBytes,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2022-02-08T16:24:02Z,161,0,0,0,0,0,3170068,1467,24179,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,4,0,0,1,7,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644337441982,3145728,0,0,0,0,2,18,2,2,2,0,0,3,3,0,0,0,0,0,0,38,1,0,0,2048,1,954,2,0,0,0,0,0,0,2,19,26226536,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-08T16:25:02Z,161,0,0,0,0,0,6142764,1467,2996875,0,0,0,0,0,0,75376,0,0,0,0,0,0,0,176,5,0,92,1,5,19896,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644337441982,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,86,75339424,-1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,692,0,116,0,1384,0,0,0,0,0,0,0,0,0,0,61575,0,13369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-08T16:26:02Z,161,0,0,0,0,0,7336692,1467,4190803,0,0,0,0,0,0,66038,0,0,0,0,0,0,0,230,5,0,118,1,5,20892,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644337441982,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,67,116449424,-1,0,0,0,0,0,0,0,0,0,0,2,0,11,0,650,0,26,0,1300,0,0,0,0,0,0,0,0,0,0,61031,0,4824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-08T16:27:02Z,161,0,0,0,0,0,7788660,1467,4642771,0,0,0,0,0,0,76662,0,0,0,0,0,0,0,251,7,0,129,1,6,38508,0,0,0,0,0, ,0,0,0,0,0,0,328,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644337441982,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,64,175528416,-1,0,0,0,0,0,0,0,0,0,0,2,0,5,0,400,0,16,0,800,0,0,0,0,0,0,0,0,0,0,74534,0,2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-08T16:28:02Z,161,0,0,0,0,0,22741476,1467,19595587,0,0,0,0,0,0,242642,0,0,0,0,0,0,0,983,17,0,273,1,6,41717,0,0,0,0,0, ,0,0,0,0,0,0,228771,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644337441982,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,168,203648912,-1,0,0,0,0,0,0,0,0,0,0,3,0,9,0,600,0,24,0,1200,0,0,0,0,0,0,0,0,0,0,180781,0,60978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-08T16:29:02Z,161,0,0,0,0,0,36616700,1467,33470811,0,0,0,0,0,0,271814,0,0,0,0,0,0,0,1695,24,0,264,1,6,46002,0,0,0,0,0, ,0,0,0,0,0,0,271782,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644337441982,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,223,190047696,-1,0,0,0,0,0,0,0,0,0,0,2,0,9,0,550,0,22,0,1100,0,0,0,0,0,0,0,0,0,0,210491,0,60498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-08T16:30:02Z,161,0,0,0,0,0,54201876,1467,51055987,0,0,0,0,0,0,313410,0,0,0,0,0,0,0,2574,38,0,256,1,6,49271,0,0,0,0,0, ,0,0,0,0,0,0,313385,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644337441982,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,245,232869368,-1,0,0,0,0,0,0,0,0,0,0,1,0,8,0,450,0,18,0,900,0,0,0,0,0,0,0,0,0,0,236971,0,75468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-08T16:31:02Z,161,0,0,0,0,0,65095420,1467,61949531,0,0,0,0,0,0,224755,0,0,0,0,0,0,0,3117,40,0,247,1,6,37749,0,0,0,0,0, ,0,0,0,0,0,0,224720,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644337441982,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,202,286297128,-1,0,0,0,0,0,0,0,0,0,0,2,0,9,0,600,0,24,0,1200,0,0,0,0,0,0,0,0,0,0,176848,0,47243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-08T16:32:02Z,161,0,0,0,0,0,82891540,1467,79745651,0,0,0,0,0,0,314468,0,0,0,0,0,0,0,4028,54,0,239,1,6,47212,0,0,0,0,0, ,0,0,0,0,0,0,314438,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644337441982,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,233,230525200,-1,0,0,0,0,0,0,0,0,0,0,1,0,8,0,500,0,20,0,1000,0,0,0,0,0,0,0,0,0,0,237201,0,76252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-08T16:33:02Z,161,0,0,0,0,0,100796108,1467,97650219,0,0,0,0,0,0,321989,0,0,0,0,0,0,0,4928,64,0,231,1,6,48306,0,0,0,0,0, ,0,0,0,0,0,0,321960,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644337441982,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,251,305845840,-1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,500,0,20,0,1000,0,0,0,0,0,0,0,0,0,0,244779,0,76208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
